allergyname,ingredientid,allergytype,foodgroup,foodorigin,manufacturerid,manufacturername,ingredientname,upc,rank,cerealtname,description,nutrientid,nutrientname,nutrientamount
Sugar Allergy / Intolerance,97,Vegetable,Sugar source,Plant origin,1,"General Mills, Inc.",FRUCTOSE,16000161795,10,Cocoa Puffs,COCOA PUFFS,1,fat,1.5
Sugar Allergy / Intolerance,97,Vegetable,Sugar source,Plant origin,1,"General Mills, Inc.",FRUCTOSE,16000161795,10,Cocoa Puffs,COCOA PUFFS,2,saturatedFat,0.0
Sugar Allergy / Intolerance,97,Vegetable,Sugar source,Plant origin,1,"General Mills, Inc.",FRUCTOSE,16000161795,10,Cocoa Puffs,COCOA PUFFS,3,transFat,0.0
Sugar Allergy / Intolerance,97,Vegetable,Sugar source,Plant origin,1,"General Mills, Inc.",FRUCTOSE,16000161795,10,Cocoa Puffs,COCOA PUFFS,4,cholesterol,0.0
Sugar Allergy / Intolerance,97,Vegetable,Sugar source,Plant origin,1,"General Mills, Inc.",FRUCTOSE,16000161795,10,Cocoa Puffs,COCOA PUFFS,5,sodium,150.0
Sugar Allergy / Intolerance,97,Vegetable,Sugar source,Plant origin,1,"General Mills, Inc.",FRUCTOSE,16000161795,10,Cocoa Puffs,COCOA PUFFS,6,carbohydrates,23.0
Sugar Allergy / Intolerance,97,Vegetable,Sugar source,Plant origin,1,"General Mills, Inc.",FRUCTOSE,16000161795,10,Cocoa Puffs,COCOA PUFFS,7,fiber,2.0
Sugar Allergy / Intolerance,97,Vegetable,Sugar source,Plant origin,1,"General Mills, Inc.",FRUCTOSE,16000161795,10,Cocoa Puffs,COCOA PUFFS,8,sugars,11.0
Sugar Allergy / Intolerance,97,Vegetable,Sugar source,Plant origin,1,"General Mills, Inc.",FRUCTOSE,16000161795,10,Cocoa Puffs,COCOA PUFFS,9,protein,0.999
Sugar Allergy / Intolerance,97,Vegetable,Sugar source,Plant origin,1,"General Mills, Inc.",FRUCTOSE,16000161795,10,Cocoa Puffs,COCOA PUFFS,10,calcium,99.9
Sugar Allergy / Intolerance,97,Vegetable,Sugar source,Plant origin,1,"General Mills, Inc.",FRUCTOSE,16000161795,10,Cocoa Puffs,COCOA PUFFS,11,iron,4.51
Sugar Allergy / Intolerance,97,Vegetable,Sugar source,Plant origin,1,"General Mills, Inc.",FRUCTOSE,16000161795,10,Cocoa Puffs,COCOA PUFFS,12,potassium,69.9
Sugar Allergy / Intolerance,97,Vegetable,Sugar source,Plant origin,1,"General Mills, Inc.",FRUCTOSE,16000161795,10,Cocoa Puffs,COCOA PUFFS,13,calories,99.9
Sugar Allergy / Intolerance,97,Vegetable,Sugar source,Plant origin,7,Brooke's Seasoning Salt Co.,FRUCTOSE,16666141544,5,Cinnamon Toast Crunch,"GENERAL MILLS, CEREAL, CINNAMON TOAST CRUNCH, CINNAMON TOAST CRUNCH",1,fat,5.98
Sugar Allergy / Intolerance,97,Vegetable,Sugar source,Plant origin,7,Brooke's Seasoning Salt Co.,FRUCTOSE,16666141544,5,Cinnamon Toast Crunch,"GENERAL MILLS, CEREAL, CINNAMON TOAST CRUNCH, CINNAMON TOAST CRUNCH",2,saturatedFat,0.998
Sugar Allergy / Intolerance,97,Vegetable,Sugar source,Plant origin,7,Brooke's Seasoning Salt Co.,FRUCTOSE,16666141544,5,Cinnamon Toast Crunch,"GENERAL MILLS, CEREAL, CINNAMON TOAST CRUNCH, CINNAMON TOAST CRUNCH",3,transFat,0.0
Sugar Allergy / Intolerance,97,Vegetable,Sugar source,Plant origin,7,Brooke's Seasoning Salt Co.,FRUCTOSE,16666141544,5,Cinnamon Toast Crunch,"GENERAL MILLS, CEREAL, CINNAMON TOAST CRUNCH, CINNAMON TOAST CRUNCH",4,cholesterol,0.0
Sugar Allergy / Intolerance,97,Vegetable,Sugar source,Plant origin,7,Brooke's Seasoning Salt Co.,FRUCTOSE,16666141544,5,Cinnamon Toast Crunch,"GENERAL MILLS, CEREAL, CINNAMON TOAST CRUNCH, CINNAMON TOAST CRUNCH",5,sodium,330.0
Sugar Allergy / Intolerance,97,Vegetable,Sugar source,Plant origin,7,Brooke's Seasoning Salt Co.,FRUCTOSE,16666141544,5,Cinnamon Toast Crunch,"GENERAL MILLS, CEREAL, CINNAMON TOAST CRUNCH, CINNAMON TOAST CRUNCH",6,carbohydrates,45.0
Sugar Allergy / Intolerance,97,Vegetable,Sugar source,Plant origin,7,Brooke's Seasoning Salt Co.,FRUCTOSE,16666141544,5,Cinnamon Toast Crunch,"GENERAL MILLS, CEREAL, CINNAMON TOAST CRUNCH, CINNAMON TOAST CRUNCH",7,fiber,3.02
Sugar Allergy / Intolerance,97,Vegetable,Sugar source,Plant origin,7,Brooke's Seasoning Salt Co.,FRUCTOSE,16666141544,5,Cinnamon Toast Crunch,"GENERAL MILLS, CEREAL, CINNAMON TOAST CRUNCH, CINNAMON TOAST CRUNCH",8,sugars,17.0
Sugar Allergy / Intolerance,97,Vegetable,Sugar source,Plant origin,7,Brooke's Seasoning Salt Co.,FRUCTOSE,16666141544,5,Cinnamon Toast Crunch,"GENERAL MILLS, CEREAL, CINNAMON TOAST CRUNCH, CINNAMON TOAST CRUNCH",9,protein,3.0
